cid,qid,correct,record_time
0,391,f,2024-02-06
0,392,t,2024-02-06
0,393,t,2024-02-06
0,394,t,2024-02-06
0,395,t,2024-02-06
0,396,f,2024-02-06
0,397,t,2024-02-06
0,398,f,2024-02-06
0,399,f,2024-02-06
0,400,f,2024-02-06
0,401,f,2024-02-06
0,402,t,2024-02-06
0,403,t,2024-02-06
0,404,f,2024-02-06
0,405,f,2024-02-06
0,406,t,2024-02-06
0,407,t,2024-02-06
0,408,t,2024-02-06
0,409,f,2024-02-06
0,410,f,2024-02-06
0,411,t,2024-02-06
0,412,f,2024-02-06
0,413,f,2024-02-06
0,414,t,2024-02-06
0,415,f,2024-02-06
0,416,f,2024-02-06
0,417,t,2024-02-06
0,418,t,2024-02-06
0,419,t,2024-02-06
0,420,t,2024-02-06
0,421,f,2024-02-06
0,422,t,2024-02-06
0,423,t,2024-02-06
0,424,f,2024-02-06
0,425,f,2024-02-06
0,426,t,2024-02-06
0,427,t,2024-02-06
0,428,f,2024-02-06
0,429,f,2024-02-06
0,430,t,2024-02-06
0,431,f,2024-02-06
0,432,t,2024-02-06
0,433,t,2024-02-06
0,434,f,2024-02-06
0,435,f,2024-02-06
0,436,f,2024-02-06
0,437,f,2024-02-06
0,438,t,2024-02-06
0,439,t,2024-02-06
0,440,t,2024-02-06
0,441,t,2024-02-06
0,442,t,2024-02-06
0,443,f,2024-02-06
0,444,f,2024-02-06
0,445,f,2024-02-06
0,446,f,2024-02-06
0,447,t,2024-02-06
0,448,t,2024-02-06
0,449,t,2024-02-06
0,450,t,2024-02-06
0,451,t,2024-02-06
0,452,t,2024-02-06
0,453,f,2024-02-06
0,454,t,2024-02-06
0,455,f,2024-02-06
0,456,t,2024-02-06
0,457,t,2024-02-06
0,458,f,2024-02-06
0,459,f,2024-02-06
0,460,t,2024-02-06
0,461,t,2024-02-06
0,462,t,2024-02-06
0,463,f,2024-02-06
0,464,t,2024-02-06
0,465,f,2024-02-06
0,466,f,2024-02-06
0,467,f,2024-02-06
0,468,t,2024-02-06
0,469,t,2024-02-06
0,470,f,2024-02-06
0,471,f,2024-02-06
0,472,t,2024-02-06
0,473,t,2024-02-06
0,474,f,2024-02-06
0,475,f,2024-02-06
0,476,t,2024-02-06
0,477,f,2024-02-06
0,478,f,2024-02-06
0,479,f,2024-02-06
0,480,t,2024-02-06
0,481,t,2024-02-06
0,482,t,2024-02-06
0,483,t,2024-02-06
0,484,f,2024-02-06
0,485,t,2024-02-06
0,486,f,2024-02-06
0,487,t,2024-02-06
0,488,t,2024-02-06
0,489,t,2024-02-06
0,490,t,2024-02-06
0,491,t,2024-02-06
0,492,f,2024-02-06
0,493,t,2024-02-06
0,494,f,2024-02-06
0,495,t,2024-02-06
0,496,t,2024-02-06
0,497,f,2024-02-06
0,498,f,2024-02-06
0,499,t,2024-02-06
0,500,t,2024-02-06
0,501,f,2024-02-06
0,502,f,2024-02-06
0,503,t,2024-02-06
0,504,t,2024-02-06
0,505,t,2024-02-06
0,506,f,2024-02-06
0,507,t,2024-02-06
0,508,f,2024-02-06
0,509,t,2024-02-06
0,510,f,2024-02-06
0,511,f,2024-02-06
0,512,t,2024-02-06
0,513,t,2024-02-06
0,514,t,2024-02-06
0,515,f,2024-02-06
0,516,f,2024-02-06
0,517,f,2024-02-06
0,518,f,2024-02-06
0,519,t,2024-02-06
0,520,t,2024-02-06
0,521,t,2024-02-06
0,522,t,2024-02-06
0,523,f,2024-02-06
0,524,f,2024-02-06
0,525,t,2024-02-06
0,526,t,2024-02-06
0,527,t,2024-02-06
0,528,t,2024-02-06
0,529,f,2024-02-06
0,530,t,2024-02-06
0,531,t,2024-02-06
0,532,f,2024-02-06
0,533,t,2024-02-06
0,534,f,2024-02-06
0,535,f,2024-02-06
0,536,f,2024-02-06
0,537,t,2024-02-06
0,538,t,2024-02-06
0,539,f,2024-02-06
0,540,t,2024-02-06
0,541,f,2024-02-06
0,542,t,2024-02-06
0,543,f,2024-02-06
0,544,t,2024-02-06
0,545,t,2024-02-06
0,546,t,2024-02-06
0,547,f,2024-02-06
0,548,f,2024-02-06
0,549,t,2024-02-06
0,550,t,2024-02-06
0,551,t,2024-02-06
0,552,t,2024-02-06
0,553,f,2024-02-06
0,554,t,2024-02-06
0,555,t,2024-02-06
0,556,f,2024-02-06
0,557,f,2024-02-06
0,558,t,2024-02-06
0,559,t,2024-02-06
0,560,f,2024-02-06
0,561,t,2024-02-06
0,562,f,2024-02-06
